ID;Short Name;Long Name;Route Type;Color;Route URL;Shape;geo_point_2d
149;IC;Anvers-Central -- Gand-Saint-Pierre;Train;#FC4C49;;"{""coordinates"": [[[3.710673, 51.0359], [3.756326, 51.03864], [3.74059, 51.05637], [3.879383, 51.08753], [3.987794, 51.10806], [4.06894, 51.1434], [4.08861, 51.15099], [4.142963, 51.17147], [4.185904, 51.18561], [4.259525, 51.20834], [4.286767, 51.21071], [4.329776, 51.21411], [4.390264, 51.19783], [4.432219, 51.19923], [4.421098, 51.2172]], [[3.710673, 51.0359], [3.756326, 51.03864], [3.74059, 51.05637], [3.879383, 51.08753], [3.987794, 51.10806]], [[3.987794, 51.10806], [4.06894, 51.1434], [4.08861, 51.15099], [4.142963, 51.17147], [4.185904, 51.18561], [4.259525, 51.20834], [4.286767, 51.21071], [4.329776, 51.21411], [4.390264, 51.19783], [4.432219, 51.19923], [4.421098, 51.2172]]], ""type"": ""MultiLineString""}";51.1376272946, 4.06506214262
135;EXTRA;Bruxelles-Nord -- Hasselt;Train;#E1E6A3;;"{""coordinates"": [[[5.327631, 50.93082], [5.187405, 50.96376], [5.05003, 50.99334], [4.98736, 51.00669], [4.94583, 51.00986], [4.86354, 51.00247], [4.82404, 50.98441], [4.747681, 50.95626], [4.67219, 50.90353], [4.63352, 50.90052], [4.585, 50.89651], [4.5433, 50.89307], [4.50611, 50.88331], [4.46989, 50.88572], [4.442773, 50.89048], [4.415358, 50.88969], [4.37864, 50.87851], [4.36085, 50.85966]]], ""type"": ""MultiLineString""}";50.9462285951, 4.83920585304
139;EXTRA;Bruxelles-Nord -- Charleroi-Sud;Train;#4BAF0D;;"{""coordinates"": [[[4.43857, 50.40471], [4.39422, 50.41217], [4.3932, 50.44311], [4.40053, 50.46201], [4.38412, 50.50586], [4.36357, 50.53521], [4.335065, 50.59964], [4.365369, 50.64542], [4.37553, 50.68478], [4.383485, 50.71542], [4.370713, 50.73881], [4.362001, 50.74781], [4.353956, 50.76763], [4.339434, 50.77369], [4.332211, 50.79175], [4.3239, 50.80241], [4.32094, 50.8102], [4.33653, 50.83571], [4.34787, 50.84113], [4.356804, 50.84565], [4.362051, 50.85207], [4.36085, 50.85966]]], ""type"": ""MultiLineString""}";50.6263858016, 4.36698211699
491;S51;Renaix -- Eeklo;Train;#9A962B;;"{""coordinates"": [[[3.710673, 51.0359], [3.650467, 50.99706], [3.627836, 50.96077], [3.639728, 50.93002], [3.646381, 50.90803], [3.623777, 50.87043], [3.600388, 50.85012], [3.60255, 50.74251]], [[3.60255, 50.74251], [3.600388, 50.85012], [3.623777, 50.87043], [3.646381, 50.90803], [3.639728, 50.93002], [3.627836, 50.96077], [3.650467, 50.99706], [3.710673, 51.0359]], [[3.574518, 51.18133], [3.61535, 51.15461], [3.667527, 51.1266], [3.701381, 51.10758], [3.719075, 51.08836], [3.74059, 51.05637], [3.756326, 51.03864], [3.710673, 51.0359]], [[3.60255, 50.74251], [3.600388, 50.85012], [3.623777, 50.87043], [3.646381, 50.90803], [3.639728, 50.93002], [3.627836, 50.96077], [3.650467, 50.99706], [3.710673, 51.0359], [3.756326, 51.03864], [3.74059, 51.05637], [3.719075, 51.08836], [3.701381, 51.10758], [3.667527, 51.1266], [3.61535, 51.15461], [3.574518, 51.18133]], [[3.574518, 51.18133], [3.61535, 51.15461], [3.667527, 51.1266], [3.701381, 51.10758], [3.719075, 51.08836], [3.74059, 51.05637], [3.756326, 51.03864], [3.710673, 51.0359], [3.650467, 50.99706], [3.627836, 50.96077], [3.639728, 50.93002], [3.646381, 50.90803], [3.623777, 50.87043], [3.600388, 50.85012]], [[3.600388, 50.85012], [3.623777, 50.87043], [3.646381, 50.90803], [3.639728, 50.93002], [3.627836, 50.96077], [3.650467, 50.99706], [3.710673, 51.0359], [3.756326, 51.03864], [3.74059, 51.05637], [3.719075, 51.08836], [3.701381, 51.10758], [3.667527, 51.1266], [3.61535, 51.15461], [3.574518, 51.18133]], [[3.60255, 50.74251], [3.600388, 50.85012]], [[3.574518, 51.18133], [3.61535, 51.15461], [3.667527, 51.1266], [3.701381, 51.10758], [3.719075, 51.08836], [3.74059, 51.05637], [3.756326, 51.03864], [3.710673, 51.0359], [3.650467, 50.99706], [3.627836, 50.96077], [3.639728, 50.93002], [3.646381, 50.90803], [3.623777, 50.87043], [3.600388, 50.85012], [3.60255, 50.74251]], [[3.710673, 51.0359], [3.756326, 51.03864], [3.74059, 51.05637], [3.719075, 51.08836], [3.701381, 51.10758], [3.667527, 51.1266], [3.61535, 51.15461], [3.574518, 51.18133]], [[3.600388, 50.85012], [3.60255, 50.74251]]], ""type"": ""MultiLineString""}";50.9917283064, 3.65461845278
22;BUS;Turnhout -- Tielen;Train;#054D2F;;"{""coordinates"": [[[4.937413, 51.32203], [4.89309, 51.24102]], [[4.89309, 51.24102], [4.937413, 51.32203]]], ""type"": ""MultiLineString""}";51.281525, 4.9152515
405;L;Namur -- Arlon;Train;#74791F;;"{""coordinates"": [[[5.828944, 49.56334], [5.818919, 49.59278], [5.809972, 49.68053]], [[5.37927, 49.92043], [5.267189, 49.85283], [5.33112, 49.70697], [5.519122, 49.56082], [5.741347, 49.55621], [5.798058, 49.56409], [5.828944, 49.56334]], [[4.86222, 50.46879], [4.876143, 50.45485], [4.877468, 50.36975], [4.86996, 50.34891], [4.87864, 50.32084], [4.90818, 50.26072], [4.90553, 50.23802], [4.964611, 50.21124], [5.006076, 50.18987], [4.95684, 50.11443], [4.978077, 49.98412], [5.043044, 49.93413], [5.092785, 49.90546], [5.118351, 49.89541], [5.267189, 49.85283], [5.37927, 49.92043]], [[5.37927, 49.92043], [5.267189, 49.85283], [5.33112, 49.70697], [5.519122, 49.56082], [5.741347, 49.55621], [5.798058, 49.56409], [5.828944, 49.56334], [5.818919, 49.59278], [5.809972, 49.68053]]], ""type"": ""MultiLineString""}";49.8128517101, 5.35137856574
84;L;Anvers-Central -- Saint-Nicolas;Train;#C0EEA5;;"{""coordinates"": [[[4.142963, 51.17147], [4.185904, 51.18561], [4.259525, 51.20834], [4.286767, 51.21071], [4.329776, 51.21411], [4.390264, 51.19783], [4.432219, 51.19923], [4.421098, 51.2172]], [[4.421098, 51.2172], [4.432219, 51.19923], [4.390264, 51.19783], [4.329776, 51.21411], [4.286767, 51.21071], [4.259525, 51.20834], [4.185904, 51.18561], [4.142963, 51.17147]]], ""type"": ""MultiLineString""}";51.2002463561, 4.2957454074
519;P;Libramont -- Gedinne;Train;#628B9B;;"{""coordinates"": [[[4.978077, 49.98412], [5.043044, 49.93413], [5.092785, 49.90546], [5.118351, 49.89541], [5.267189, 49.85283], [5.37927, 49.92043]]], ""type"": ""MultiLineString""}";49.9005274137, 5.17636447944
513;P;Rochefort-Jemelle -- Arlon;Train;#224CE9;;"{""coordinates"": [[[5.37927, 49.92043], [5.452557, 49.85432], [5.539757, 49.72733], [5.632689, 49.71825], [5.769116, 49.69094], [5.786525, 49.68824], [5.809972, 49.68053]], [[5.266697, 50.1604], [5.276783, 50.13276], [5.280527, 50.0906], [5.292646, 50.01951], [5.37927, 49.92043]]], ""type"": ""MultiLineString""}";49.8573836606, 5.4829439617
17;BUS;Ciney -- Libramont;Train;#C052B3;;"{""coordinates"": [[[5.091406, 50.29105], [5.10778, 50.26777], [5.12426, 50.26237], [5.194376, 50.24904], [5.301096, 50.22413], [5.31389, 50.20282], [5.266697, 50.1604], [5.276783, 50.13276], [5.280527, 50.0906], [5.292646, 50.01951], [5.37927, 49.92043]]], ""type"": ""MultiLineString""}";50.1398950386, 5.26094742746
